sku,name,description,category,subcategory,brand,model,sell_price,notes,warehouse,unit
ITCP502,ITCP502 - Bullet HYKON InTelligent Camera 5 Megapixel IP. sensore,"di funzionamento- 30°C * 60°C, peso 0,45Kg, alim. 12Vcc/PoE IEEE202.3af. (Rvan M Onwvir: Bullet HYKON InTelligent Camera 5 Megapixel IP. sensore 1f2,7” EVERLIGHT technology CMOS, compressione Ultra H.265 H.264f H.265/ MIPEG, ottica motorizzata autofocus 2,7-13,5 mm, 0,002 Lux illluminazione minima, DayfMight ICR {Filtro Meccanico), Smart IR portata led 50m, ONVIF [Profile 5, Profile G, Profile T, Profile M}, API, SD card max 256G, WDR 120dE 2D/f3D DNR, S7N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, privacy mask 4 aree, funzione ANR, 1 ingresso/uscita allarme, 1 ingresso/uscita audio, gestione profili separati indipendenti. Algoritmi intelligenti deep leamine: attraversamento linea, motion detector 4 aree, Ingresso In area, Intrusion, uscita dall'area, Intelligent face capture, People Fow Counting, Crowd Density Monitoring, tampering, audio detection. Viteria In accialo, dim. 245 x 86 x 72mm, IP67, IK19,",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITCP502,515.0,BOX?,listino,pz
ITC05027,ITC05027 - Eyeball HYKON InTelligent Camera 5 Megapixel IP. sensore,"temperatura di funzionamento -30°C * 60°C, peso 1Kg, alim. 12Vcc/PoE IEEE8D2.3af, e ail. i A 13ZW RT ov Onvir: Eyeball HYKON InTelligent Camera 5 Megapixel IP. sensore 12,7” EVERLIGHT technology CMOS, compressione Uttra H.265, H.264/ H.765/ MIPEG, ottica motorizzata autofocus 2,7-13,5 mm, 0,002 Lux illluminazione minima, Day/Night | {Filtro Meccanico}, Smart IR portata led 40m, ONVIF (Profile 5, Profile G, Profite T, Profile M), API, SD card max 256G, WDR 120dB, 2D/3D DNR, S/N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, microfono incorporato, privac mask 4 aree, funzione ANR, gestione profili separati indipendenti. Aleortirni intellitenti deep learning: attraversamento linea, motlon detector 4 aree, ingresso In area, intrusion, uscita dall'area, intelligent face capture, People Flow Counting,",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITC05027,515.0,STPUB2,listino,pz
ITCX8B02,ITCX8B02 - Mini Bullet HYKON InTelligent Camera 8 Megapixel IP Active De,"E DESCRIZIONE FW Mn IT a Qnvir: Mini Bullet HYKON InTelligent Camera 8 Megapixel IP Active Deterrence, sensore 1/2,7” CMOS EVERUGHT Technoiogy, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica fissa 2,8mm, 0,0025 Lux illluminazione minima a colori Lux IR on, Day/ Night ICR [Filtro Meccanico), Smart IR portata led 30m, ONYIF {Profile 5, Profile G, Profile T, Profile M]), API, card max 256G, WDR 120dB, 2D/3D DIR, S/N >56, BLC, HLC, ROI 8 aree, Comidor mode, Digital Defog, Digital Flip, microfon o] incorporato, speaker con messaggi vocali, maxi led a luce bianca {alarm light], privacy mask 4 aree, funzione ANR, sestione profili separati indipendenti. Algoritmi intelligenti deep leaming: attraversamento linea, motion detector 4 aree, ingresso in area, Intrusion, uscita dall'area, intelligent face capture, People Flow Counting, Crowd Density Monitoring, tampering, audio",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITCX8B02,459.0,ACCESSORI,listino,pz
ITCP8028,ITCP8028 - Bullet HYKON InTellipent Camera 8 Megapixel IP,"detection, pestione audio bidirezionale tramite Hykon Mobile ed Hykon Survelllance Viteria In acciaio, dim. 191x 75 x 74mn IP67, temperatura di funzionamento -30°C * 60°C, peso 0,4Kg, alim. 17Vcc/PoE IEEE802.3af. 12ZW | IT covaa Onme Bullet HYKON InTellipent Camera 8 Megapixel IP, sensore 1/2,8” CMOS EVERLIGHT Technology, compressione Ultra H.265 H.264/ H.265/ MUPEG, ottica motorizzata autofocus 2,23-12 mm, 0,003 Lux illuminazione minima a colori, O Lux IR on, Day} Night ICR (Filtro Meccanico), Smart HR portata led 50m, ONVIF [Profife $, Profile G, Profile T, Profile M], API, SD card max 256G, WDR 120dB, 2D/3D DIR, S7N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, 1 ingresso e 1 uscit audio, 1 ingresso ed 1 uscita di allarme, privacy mask 4 aree, funzione ANR, gestione profili separati indipendenti. Algoritmi intelfirenti deep learning: attraversamento linea, motlon detector 4 aree, ingresso in area, Intrusion, uscita dall'area,",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITCP8028,655.0,",0",listino,pz
ITC08028,ITC08028 - Eyeball HYKOf! InTellizent Camera 8 Megapixel P,"intelligent face capture, People Flow Counting, Crowd Density Monitoring, tampering, audio detection, viteria in accialo, din 245 x 86 x 72mm, IP67, IK10, temperatura di funzionamento -30°C * 60°C, peso 1Kg, alim. 12Vcc/PoE IFEE202.3af. 1227 RT © Onmr: Eyeball HYKOf! InTellizent Camera 8 Megapixel P, sensore 1/2,8” CMOS EVERLIGHT Technology, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica motorizzata autofocus 2,8-12 mm, 0,093 Lux illluminazione minima a colori, 0 Lux (Ron, Day/Night ICR (Filtro Meccanico), Smart IR portata led 40m, ONVIF {Profile £, Profite G, Profile T, Profile M], API, SD card max 256G, WDR 120dB, 2D/3D DIR, S/N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, mierofon incorporato, privacy mask 4 aree, funzione ANR, gestione profili separati indipendenti. Algoritmi intelligenti deep learning: attraversamento finea, motlon detector 4 aree, Ingresso In area, intrusion, uscita dall'area, Intelligent face capture, People",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITC08028,655.0,SD,listino,pz
ITC0502,ITC0502 - Eyeball HYKON InTelligent Camera 5 Megapixel IP SUIT LINE,"IK10, temperatura di funzionamento -30°C "" 60""C, peso 1Kg, alim. 12Vcc/PoE IEEE802.3af, colore nero opaca. 13Z2B RT Sa Onvir: Eyeball HYKON InTelligent Camera 5 Megapixel IP SUIT LINE , sensore 1/2,7 CMOS EVERLIGHT technology, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica motorizzata autofocus 2,7-13,5 mm, 0,002 Lux illluminazione minima, Day/Night {Filtro Meccanico), Smart IR portata jed 50m, ONVIF [Profile S, Profile G, Profile T, Profile M), API, SD card max 256G, WDR 120d58, 2D/3D DNR, S/N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, privacy mask 4 aree, funzione ANR, 1 ingresso/uscita allarme, 1 ingresso/uscita audio, gestione profili separati indipendenti. Algoritmi intelligenti deep leaming: attraversamento linea, motion detector 4 aree, ingresso In area, Intrusion, uscita dall'area, intellisent face capture People Flow Counting, Crowd Density Monitoring, tampering, audio detection. Viteria In acciaio, dim. D129 x 110mm, IP67,",Sistemi Over IP,Telecamere Premium Everlight Suitline,Hykon,ITC0502,515.0,ICR,listino,pz
ITCK402,ITCK402 - Bullet HYKON InTelligent Camera 4 Megapixel IP; sensore,"E DESCRIZIONE x la FS ] GENT — i SFNZ eve mq = I. Onvie Bullet HYKON InTelligent Camera 4 Megapixel IP; sensore 1/1,8°” CMOS NEVERNIGHT Technology NG, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica fissa 2,8mm[F1.0], 0,0003 Lux illluminazione minima a colori [F1.0, AGCON }, O Lux LED on, Maxi Led a luce bianca portata 4Omt, ONVIF {Profile 5, Profile G, Profile T, Profile M], API, SDK, SD card max juina 512G, controllo Auto Scene Match, WDR 130dB, 2D/3D DINR, 57N >56, BLC, HLC, ROF 8 aree, Corridor mode, Digital Defog, hà | \ | Digital Fip, microfono integrato, 1 ingresso e 1 uscita audio, 1 ingresso ed i uscita di allarme, privacy mask 4 aree, ANR, 3 | NAS(NF5), gestione profili separati indipendenti. Algoritmi intetligenti deep leaming Premium con classificazione del colon RU attraversamento linea, motion detector 4 aree, Ingresso In area, Intrusion, uscita dall'area, Intellizent face capture, People F ali: Counting, Crowd Density Monitoring, oggetto abbandonato, oggetto rimosso, tampering, audio detection, viteria m accialo, dim. 265,2 x 95,2 x 82,9mm, 1P67, IK10, temperatura di funzionamento -30°C © 60""C, peso 1Kg, alim. 17Ycc max 4,5W//PoE",Sistemi Over IP,Telecamere Premium Neverlight,Hykon,ITCK402,460.0,ACCESSORI,listino,pz
ITCK404,ITCK404 - Bullet HYKON InTelligent Camera 4 Megapixel EP,"IEEES02.3af li alia INI GENT = , OFN2 PR a Onvie Bullet HYKON InTelligent Camera 4 Megapixel EP, sensore 1/1,8” CMOS NEVERNIGHT Technology NG, compressione Uttra H.265, H.264/ H.265/ MIPEG, ottica fissa 4mm{F1.0), 0,0003 Lux illluminazione minima a colori (F1.0, AGCON ], 0 Lux LED on, Maxi Led a luce bianca portata 40mt, ONVIF [Profile S, Profile G, Profile FT, Profile M)}, API, SDK, SD card max 512G, controllo Auto Scene Match, WDR 130dB, 2D/3D DIN, S7N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, microfono integrato, 1 ingresso e 1 uscita audio, 1 ingresso ed 1 uscita di allarme, privacy mask 4 aree, ANR, "" (Li NAS[NFS), sestione profili separati indipendenti. Algoritmi intelligenti deep learning Premium con classificazione del colon "" attraversamento linea, motion detector 4 aree, ingresso In area, Iintrusion, uscita dall'area, intelligent face capture, People F Counting, Crowd Density Monitoring, oggetto abbandonato, oggetto rimosso, tampenng, audio detection, viteria in acciaio, lia dim. 265,2 x 95,2 x 82,5mm, I1P67, KK10, temperatura di funzionamento -30°C * 60""C, peso 1Kg, alim. 12Ycc max 4,5W/P0E",Sistemi Over IP,Telecamere Premium Neverlight,Hykon,ITCK404,460.0,BOX13,listino,pz
“01317. 1700402,“01317. 1700402 - Eyeball HYKON InTelligent Camera 4 Megapixel IP,"IEFFES02.3af, li — INTELLIGENT ln . FI i È e. Onvie Eyeball HYKON InTelligent Camera 4 Megapixel IP, sensore 1/1,8” CMOS NEVERNIGHT Technology NG, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica fissa 2,8mm[F1.0], 0,0003 Lux illluminazione minima a colorì [F1.0, AGCON }, sicin O Lux LED on, Maxi Led a luce bianca portata 30mt, ONVIF [Proftle 5, Profile G, Profile T, Profile M), API, SDK, SD card max 512G, controllo Auto Scene Match, WDR 130dB, 20/3D DINR, SfN >56, BLC, HLC, ROF 8 aree, Corridor mode, Digital Defog, =» Digital Fitp, microfono integrato, 1 Ingresso e 1 uscita audio, 1 ingresso ed 1 uscita di allarme, privacy mask 4 aree, ANR, NAS([NFS), sestlone profili separati indipendenti. Algoritmi intelligenti deep leaming Premium con classificazione del cofon attraversamento linea, motion detector 4 aree, ingresso in area, intrusion, uscita dall'area, intelligent face capture, People Fow Counting, Crowd Density Monitoring, oggetto abbandonato, oggetto rimosso, tampenng, audio detechon, viteria In acdaio, dim. 129 x 110 mm, 1P67, IK10, temperatura di funzionamento -30°C * 60°C, peso 0,7Kg, alim. 12VYcc max 4,5W/Pe",Sistemi Over IP,Telecamere Premium Neverlight,Hykon,“01317. 1700402,460.0,> STPS,listino,pz
ITCP402,ITCP402 - Bullet HYKON InTelligent Camera 4 Megapixel IP,"E DESCRIZIONE Aa li dla. INTELLIGENT — , 512ZN mvernicio = È ST Onvir Bullet HYKON InTelligent Camera 4 Megapixel IP, sensore 1/1,8” CMOS NEVERNIGHT Technoiogy Dual Illuminatore, compressione Ultra H.265, H.264/f H.265/ MIPEG, ottica motorizzata autofocus 2,8-12 mm, 0,0095 Lux illiuminazione minîi a colori [F1.2, AGCON ], 0 Lux IR/LED on, Day/Night ICR (Filtro Meccanico), Smart IR portata led 40m, Maxi Led a luce bian ONVIF {Profile 5, Profile G, Profile T, Profile M], API, SD card max 256G, WDR 420dB, 2D/3D DNR, S/N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, 1 ingresso e i uscita audio, 1 Ingresso ed 1 uscita di allarme, privacy mask 4 4 aree, funzione ANR, NAS, sestione profili separati indipendenti. Algoritmi intelligenti deep leamine: attraversamento linea, motlon detector 4 aree, Ingresso In area, intrusion, uscita dall’area, Intelligent face capture, People Flow Counting, Crowd Density Monitoring, tampering, audio detection, vitena In acciaio, dim. 245 x 86 x 7Zmm, 1P67, IK10, temperatura di funzionamento -30°C * 60°C, peso 1Kg, alim. 12cc/PoE IEEE807.3af.",Sistemi Over IP,Telecamere Panoramiche ITC Premium,Hykon,ITCP402,698.0,ACCESSORI,listino,pz
